Country,Region,Gender,Ageyears,Handed,Height,Foot_Length,Arm_Span,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_enery,Importance_owning_computer,Importance_Internet_access,
"USA","IL","F","17","R","165","23","162","1","Car","20","0.3","54","Other","0","0","460","460","460","1000",
"USA","MI","F","16","R","168","21","171","1","Car","10","0.458","48","None","791","1000","914","1000","610","1000",
"UK","Home Counties","F","12","B","166","25","157","1","Rail","20","0","37","Swimming","667","472","709","787","1000","1000",
"CA","Ontario","F","13","R","168","25","163","1","Walk","2","0.431","45","Dancing","1000","412","380","209","37","102",
"NZ","Auckland","F","13","R","173","28","170","1","Car","25","0.391","0","Other activities/sports","1000","","1000","","","",
"UK","Channel Islands","M","15","R","196","29","202","1","Bus","25","0.28","34","Basketball","543","550","229","699","782","784",
"CA","Quebec","M","11","R","142","22","143","3","Car","30","0.515","47","Hockey (Ice)","326","326","1000","241","241","1000",
"CA","Ontario","F","12","R","168","24","180","1","Walk","30","0.66","89","Other activities/sports","21","21","21","21","1000","1000",
"USA","MI","F","17","R","157","20","149","2","Car","10","0","32","Tennis","850","861","818","877","342","460",
"OZ","New South Wales","M","11","R","154","24","154","2","Bus","2","0.29","31","Rugby League","1000","1000","1000","503","509","767",
"USA","MD","F","12","R","152","20","119","1","Bus","15","0.909","63","Basketball","1000","0","0","1000","1000","0",
"OZ","Queensland","M","11","R","148","22","150","2","Car","10","0.37","31","Other activities/sports","1000","1000","1000","1000","1","",
"NZ","Auckland","M","13","R","169","28","152","1","Bus","15","0","0","Rugby Union","750","","500","","","",
"UK","North West","M","15","R","174","26","169","2","Cycle","17","0.3","38","Table Tennis","723","772","0","765","1000","1000",
"CA","Ontario","M","12","R","154","25","162","1","Walk","10","0.436","66","Hockey (Ice)","866","497","765","604","995","1000",
"OZ","New South Wales","F","12","R","160","24","164","1","Bus","15","0.35","35","Swimming","474","486","498","515","1","",
"CA","Ontario","F","12","R","151","22","145","2","Walk","10","0.301","54","Dancing","930","914","898","963","920","936",
"USA","DE","M","17","R","178","27","182","1","Car","10","0.273","44","Baseball/Softball","800","500","700","800","300","1000",
"OZ","New South Wales","F","11","R","140","21","123","1","Walk","5","0.53","53","Other activities/sports","1000","805","834","1000","1000","1000",
"NZ","Otago","F","14","R","163","20","170","1","Bus","25","0.385","0","Other activities/sports","250","","250","","","",
